"No.","Length","Type/Subtype"
"973","36","Clear-to-send"
"981","36","Acknowledgement"
"983","36","Acknowledgement"
"985","36","Acknowledgement"
"986","36","Acknowledgement"
"987","36","Acknowledgement"
"989","36","Acknowledgement"
"992","36","Acknowledgement"
"993","36","Acknowledgement"
"998","36","Clear-to-send"
"1002","205","Control Wrapper"
"1004","36","Acknowledgement"
"1007","36","Acknowledgement"
"1008","36","Acknowledgement"
"1009","36","Acknowledgement"
"1010","36","Acknowledgement"
"1013","36","Acknowledgement"
"1014","36","Acknowledgement"
"1015","36","Acknowledgement"
"1019","36","Acknowledgement"
"1020","36","Acknowledgement"
"1022","36","Acknowledgement"
"1046","36","Acknowledgement"
"1047","36","Clear-to-send"
"1065","42","CF-End (Control-frame)"
"1070","36","Acknowledgement"
"1080","36","Acknowledgement"
"1082","36","Clear-to-send"
"1086","36","Acknowledgement"
"1089","54","802.11 Block Ack"
"1090","54","802.11 Block Ack"
"1091","54","802.11 Block Ack"
"1097","36","Clear-to-send"
"1099","36","Acknowledgement"
"1100","36","Acknowledgement"
"1101","36","Acknowledgement"
"1102","36","Clear-to-send"
"1103","36","Acknowledgement"
"1109","45","VHT NDP Announcement"
"1112","45","VHT NDP Announcement"
"1119","36","Clear-to-send"
"1124","36","Clear-to-send"
"1127","36","Acknowledgement"
"1128","36","Acknowledgement"
"1130","36","Acknowledgement"
"1131","36","Beamforming Report Poll"
"1134","42","CF-End (Control-frame)"
"1136","45","VHT NDP Announcement"
"1138","45","VHT NDP Announcement"
"1140","36","Acknowledgement"
"1141","54","802.11 Block Ack"
"1143","36","Acknowledgement"
"1146","36","Clear-to-send"
"1147","36","Acknowledgement"
"1148","36","Acknowledgement"
"1150","36","Acknowledgement"
"1151","36","Acknowledgement"
"1153","36","Acknowledgement"
"1156","36","Acknowledgement"
"1157","45","VHT NDP Announcement"
"1159","45","VHT NDP Announcement"
"1161","36","Acknowledgement"
"1162","54","802.11 Block Ack"
"1167","36","Acknowledgement"
"1171","45","VHT NDP Announcement"
"1172","45","VHT NDP Announcement"
"1173","36","Acknowledgement"
"1174","36","Acknowledgement"
"1176","36","Clear-to-send"
"1178","36","Acknowledgement"
"1180","36","Acknowledgement"
"1181","36","Acknowledgement"
"1183","36","Acknowledgement"
"1186","36","Acknowledgement"
"1187","36","Acknowledgement"
"1188","36","Acknowledgement"
"1194","42","CF-End (Control-frame)"
"1200","36","Clear-to-send"
"1201","36","Acknowledgement"
"1202","36","Acknowledgement"
"1205","36","Clear-to-send"
"1215","45","VHT NDP Announcement"
"1217","36","Acknowledgement"
"1219","36","802.11 Block Ack Req"
"1221","36","Acknowledgement"
"1222","36","Acknowledgement"
"1235","36","Clear-to-send"
"1240","45","VHT NDP Announcement"
"1241","45","VHT NDP Announcement"
"1248","36","Acknowledgement"
"1251","36","Acknowledgement"
"1252","45","VHT NDP Announcement"
"1255","45","VHT NDP Announcement"
"1258","45","VHT NDP Announcement"
"1262","45","VHT NDP Announcement"
"1265","36","Sector Sweep Feedback"
"1266","36","Acknowledgement"
"1267","36","Acknowledgement"
"1269","36","Clear-to-send"
"1271","46","802.11 Block Ack Req"
"1273","46","802.11 Block Ack Req"
"1274","46","802.11 Block Ack Req"
"1275","46","802.11 Block Ack Req"
"1281","36","Acknowledgement"
"1282","46","802.11 Block Ack Req"
"1283","46","802.11 Block Ack Req"
"1284","46","802.11 Block Ack Req"
"1285","46","802.11 Block Ack Req"
"1286","46","802.11 Block Ack Req"
"1287","46","802.11 Block Ack Req"
"1288","46","802.11 Block Ack Req"
"1289","46","802.11 Block Ack Req"
"1290","46","802.11 Block Ack Req"
"1294","46","802.11 Block Ack Req"
"1295","46","802.11 Block Ack Req"
"1297","46","802.11 Block Ack Req"
"1298","46","802.11 Block Ack Req"
"1299","46","802.11 Block Ack Req"
"1300","46","802.11 Block Ack Req"
"1301","46","802.11 Block Ack Req"
"1302","46","802.11 Block Ack Req"
"1303","46","802.11 Block Ack Req"
"1308","46","802.11 Block Ack Req"
"1309","46","802.11 Block Ack Req"
"1310","46","802.11 Block Ack Req"
"1311","46","802.11 Block Ack Req"
"1312","36","Acknowledgement"
"1313","36","Acknowledgement"
"1315","36","Acknowledgement"
"1316","36","Acknowledgement"
"1317","36","Acknowledgement"
"1319","46","802.11 Block Ack Req"
"1320","46","802.11 Block Ack Req"
"1322","36","Acknowledgement"
"1323","36","Acknowledgement"
"1324","36","Acknowledgement"
"1326","36","Acknowledgement"
"1330","36","Acknowledgement"
"1331","42","CF-End (Control-frame)"
"1335","36","Clear-to-send"
"1338","36","Clear-to-send"
"1344","42","CF-End (Control-frame)"
"1346","36","Acknowledgement"
"1355","36","Acknowledgement"
"1358","36","Acknowledgement"
"1361","36","Acknowledgement"
"1363","36","Acknowledgement"
"1364","46","802.11 Block Ack Req"
"1365","46","802.11 Block Ack Req"
"1366","46","802.11 Block Ack Req"
"1367","46","802.11 Block Ack Req"
"1368","46","802.11 Block Ack Req"
"1369","46","802.11 Block Ack Req"
"1370","46","802.11 Block Ack Req"
"1371","36","Acknowledgement"
"1372","36","Acknowledgement"
"1373","36","Acknowledgement"
"1374","46","802.11 Block Ack Req"
"1375","46","802.11 Block Ack Req"
"1377","36","Acknowledgement"
"1378","36","Acknowledgement"
"1385","46","802.11 Block Ack Req"
"1390","46","802.11 Block Ack Req"
"1391","46","802.11 Block Ack Req"
"1392","46","802.11 Block Ack Req"
"1393","46","802.11 Block Ack Req"
"1394","46","802.11 Block Ack Req"
"1395","46","802.11 Block Ack Req"
"1405","46","802.11 Block Ack Req"
"1406","46","802.11 Block Ack Req"
"1407","46","802.11 Block Ack Req"
"1408","46","802.11 Block Ack Req"
